Rank,Name,Role,Game Type,Map,Game Rank,KD,KDA,Win %,Pick %,Avg. Score,First Blood %,Matches
14,Harbor,controller,Competitive,Fracture,Platinum 1,0.91,"['13.8', '15.3', '5.9']",47.2,0.8,193,0.1,1450
15,Skye,initiator,Competitive,Fracture,Platinum 1,0.92,"['13.9', '15.1', '7.1']",47.1,3.0,195,0.1,5832
16,Chamber,sentinel,Competitive,Fracture,Platinum 1,1.06,"['16', '15.1', '3.1']",47.0,3.1,218,0.1,5998
17,KAY/O,initiator,Competitive,Fracture,Platinum 1,0.91,"['14', '15.4', '8.8']",46.3,3.5,202,0.1,6723
18,Astra,controller,Competitive,Fracture,Platinum 1,1.0,"['14.9', '14.8', '6.4']",46.3,1.2,204,0.2,2285
19,Omen,controller,Competitive,Fracture,Platinum 1,0.95,"['14.6', '15.4', '6.5']",45.3,3.6,203,0.1,6917
20,Yoru,duelist,Competitive,Fracture,Platinum 1,1.0,"['15.6', '15.6', '4.3']",45.0,1.2,218,0.1,2353
1,Phoenix,duelist,Competitive,Pearl,Platinum 1,1.14,"['17.5', '15.4', '4.9']",52.2,4.6,246,0.1,8963
2,Astra,controller,Competitive,Pearl,Platinum 1,1.05,"['15.1', '14.5', '6.3']",50.8,3.4,207,0.2,6540
3,Brimstone,controller,Competitive,Pearl,Platinum 1,0.94,"['14.1', '15', '8.1']",50.6,4.4,201,0.1,8550
4,Fade,initiator,Competitive,Pearl,Platinum 1,0.95,"['14.3', '15.2', '6.5']",50.6,8.2,200,0.1,15907
5,Killjoy,sentinel,Competitive,Pearl,Platinum 1,1.0,"['14.2', '14.3', '4']",50.2,4.7,200,0.2,9140
6,Sage,sentinel,Competitive,Pearl,Platinum 1,0.91,"['13.4', '14.8', '7.2']",50.1,9.9,188,0.1,19127
7,Raze,duelist,Competitive,Pearl,Platinum 1,1.05,"['16.6', '15.8', '4.9']",50.0,5.7,240,0.1,11097
8,Viper,controller,Competitive,Pearl,Platinum 1,0.98,"['14.4', '14.7', '5.9']",49.5,6.6,202,0.1,12783
9,Reyna,duelist,Competitive,Pearl,Platinum 1,1.15,"['18', '15.6', '4.6']",49.4,12.3,251,0.1,23843
10,Yoru,duelist,Competitive,Pearl,Platinum 1,1.02,"['16', '15.7', '4.6']",49.4,1.5,223,0.1,2953
11,Cypher,sentinel,Competitive,Pearl,Platinum 1,1.01,"['14.6', '14.5', '4.9']",49.2,5.0,199,0.2,9708
12,Sova,initiator,Competitive,Pearl,Platinum 1,0.99,"['14.5', '14.6', '5.6']",48.9,3.0,205,0.1,5795
13,Jett,duelist,Competitive,Pearl,Platinum 1,1.08,"['17.2', '15.9', '3.9']",48.5,10.4,239,0.1,20079
14,Skye,initiator,Competitive,Pearl,Platinum 1,0.94,"['14.3', '15.2', '7.5']",48.3,3.3,201,0.1,6370
15,Harbor,controller,Competitive,Pearl,Platinum 1,0.91,"['13.9', '15.2', '6.2']",48.2,1.5,193,0.1,2821
16,Chamber,sentinel,Competitive,Pearl,Platinum 1,1.08,"['16.1', '14.8', '3.1']",47.6,3.6,218,0.1,7002
17,Breach,initiator,Competitive,Pearl,Platinum 1,0.93,"['14.3', '15.4', '6.4']",47.5,1.9,201,0.1,3707
18,Omen,controller,Competitive,Pearl,Platinum 1,0.97,"['14.8', '15.3', '6.5']",46.8,3.8,205,0.1,7383
19,Neon,duelist,Competitive,Pearl,Platinum 1,0.98,"['16.1', '16.5', '4.3']",46.5,2.2,227,0.1,4258
20,KAY/O,initiator,Competitive,Pearl,Platinum 1,0.9,"['14.1', '15.6', '8.6']",45.6,3.8,203,0.1,7356
1,Chamber,sentinel,Competitive,Lotus,Platinum 1,1.1,"['16.3', '14.8', '3']",52.0,3.7,221,0.1,7142
2,Raze,duelist,Competitive,Lotus,Platinum 1,1.06,"['16.8', '15.8', '4.9']",51.0,7.6,243,0.1,14637
3,Brimstone,controller,Competitive,Lotus,Platinum 1,0.97,"['14.5', '14.9', '7.9']",50.8,5.0,206,0.1,9569
4,Killjoy,sentinel,Competitive,Lotus,Platinum 1,0.99,"['14.1', '14.2', '3.8']",50.8,6.3,199,0.2,12120
5,Sage,sentinel,Competitive,Lotus,Platinum 1,0.93,"['13.7', '14.8', '6.9']",50.6,8.6,192,0.1,16430
6,Reyna,duelist,Competitive,Lotus,Platinum 1,1.16,"['18', '15.6', '4.4']",50.6,12.4,250,0.1,23854
7,Astra,controller,Competitive,Lotus,Platinum 1,1.03,"['15', '14.7', '5.8']",50.0,2.2,206,0.2,4248
8,Breach,initiator,Competitive,Lotus,Platinum 1,0.94,"['14.6', '15.4', '6.8']",49.7,5.5,202,0.1,10639
9,Viper,controller,Competitive,Lotus,Platinum 1,0.97,"['14.4', '14.8', '5.4']",49.6,2.1,202,0.1,4022
10,Phoenix,duelist,Competitive,Lotus,Platinum 1,1.1,"['17', '15.4', '4.5']",49.4,3.7,238,0.1,7098
11,Fade,initiator,Competitive,Lotus,Platinum 1,0.94,"['14.2', '15.1', '6.1']",49.4,4.6,199,0.1,8798
12,Omen,controller,Competitive,Lotus,Platinum 1,0.97,"['14.8', '15.2', '6.4']",49.3,7.4,204,0.1,14221
13,Sova,initiator,Competitive,Lotus,Platinum 1,0.97,"['14.5', '15', '5.4']",49.1,2.9,205,0.1,5521
14,Jett,duelist,Competitive,Lotus,Platinum 1,1.08,"['17.2', '15.8', '3.7']",48.9,9.8,240,0.1,18815
15,Harbor,controller,Competitive,Lotus,Platinum 1,0.92,"['13.8', '15.1', '5.6']",48.2,1.9,194,0.1,3579
16,Cypher,sentinel,Competitive,Lotus,Platinum 1,1.01,"['14.7', '14.5', '4.6']",48.1,4.0,201,0.1,7761
17,Neon,duelist,Competitive,Lotus,Platinum 1,0.99,"['16.2', '16.4', '4.2']",48.1,2.3,228,0.1,4330
18,Skye,initiator,Competitive,Lotus,Platinum 1,0.94,"['14.4', '15.3', '7.6']",47.6,4.5,200,0.1,8695
19,Yoru,duelist,Competitive,Lotus,Platinum 1,0.98,"['15.4', '15.7', '4.3']",45.7,1.6,214,0.1,2982
20,KAY/O,initiator,Competitive,Lotus,Platinum 1,0.9,"['14.1', '15.6', '8.8']",45.5,3.9,203,0.1,7407
1,Brimstone,controller,Competitive,All,Platinum 2,0.97,"['14.5', '14.9', '8.4']",50.8,5.5,206,0.1,66891
2,Phoenix,duelist,Competitive,All,Platinum 2,1.12,"['17.3', '15.5', '4.7']",50.7,3.6,243,0.1,43302
3,Sage,sentinel,Competitive,All,Platinum 2,0.93,"['13.8', '14.9', '7.2']",50.4,9.8,192,0.1,118775
4,Killjoy,sentinel,Competitive,All,Platinum 2,1.0,"['14.4', '14.3', '3.9']",50.3,6.5,201,0.2,79043
5,Reyna,duelist,Competitive,All,Platinum 2,1.14,"['17.9', '15.7', '4.5']",49.7,12.1,248,0.1,146818
6,Fade,initiator,Competitive,All,Platinum 2,0.96,"['14.4', '15.1', '6.4']",49.6,4.7,201,0.1,56609
7,Raze,duelist,Competitive,All,Platinum 2,1.05,"['16.7', '15.9', '4.9']",49.6,7.3,242,0.1,88839
8,Sova,initiator,Competitive,All,Platinum 2,1.0,"['14.7', '14.8', '5.6']",49.4,5.1,206,0.1,61918
9,Astra,controller,Competitive,All,Platinum 2,1.04,"['15.3', '14.7', '6.4']",49.3,2.1,208,0.1,25257
10,Viper,controller,Competitive,All,Platinum 2,0.99,"['14.7', '14.8', '5.7']",49.2,4.2,205,0.2,51142
11,Skye,initiator,Competitive,All,Platinum 2,0.95,"['14.4', '15.2', '7.5']",49.1,3.4,201,0.1,41745
12,Jett,duelist,Competitive,All,Platinum 2,1.09,"['17.4', '16', '3.8']",49.1,10.7,242,0.1,130553
13,Breach,initiator,Competitive,All,Platinum 2,0.94,"['14.5', '15.4', '6.7']",49.0,3.6,202,0.1,43868
14,Chamber,sentinel,Competitive,All,Platinum 2,1.08,"['16.2', '15', '3']",48.2,3.1,220,0.1,38162
15,Omen,controller,Competitive,All,Platinum 2,0.98,"['14.9', '15.2', '7']",48.2,6.7,206,0.1,82063
16,Neon,duelist,Competitive,All,Platinum 2,0.99,"['16.3', '16.4', '4.3']",48.0,1.8,229,0.1,21999
17,Cypher,sentinel,Competitive,All,Platinum 2,1.0,"['14.6', '14.6', '4.8']",47.8,4.2,200,0.1,50487
18,Harbor,controller,Competitive,All,Platinum 2,0.91,"['14', '15.3', '5.9']",46.8,0.9,193,0.1,10382
19,KAY/O,initiator,Competitive,All,Platinum 2,0.92,"['14.3', '15.6', '8.8']",45.6,3.6,204,0.1,43769
20,Yoru,duelist,Competitive,All,Platinum 2,1.0,"['15.7', '15.7', '4.3']",45.1,1.2,218,0.1,14838
1,Sage,sentinel,Competitive,Split,Platinum 2,0.94,"['14', '14.8', '7.6']",51.2,13.0,196,0.1,22765
2,Killjoy,sentinel,Competitive,Split,Platinum 2,1.01,"['14.6', '14.4', '4']",51.0,6.3,204,0.2,11125
3,Raze,duelist,Competitive,Split,Platinum 2,1.06,"['17', '16.1', '5']",51.0,10.7,247,0.1,18801
4,Brimstone,controller,Competitive,Split,Platinum 2,0.96,"['14.6', '15.2', '8.7']",50.1,5.2,207,0.1,9204
5,Reyna,duelist,Competitive,Split,Platinum 2,1.13,"['17.8', '15.7', '4.6']",50.0,11.1,247,0.1,19497
6,Breach,initiator,Competitive,Split,Platinum 2,0.95,"['14.6', '15.4', '6.8']",50.0,3.1,204,0.1,5422
7,Skye,initiator,Competitive,Split,Platinum 2,0.96,"['14.5', '15.1', '7.6']",49.4,4.5,202,0.1,7937
8,Fade,initiator,Competitive,Split,Platinum 2,0.95,"['14.4', '15.1', '6.1']",49.2,4.0,201,0.1,6965
9,Phoenix,duelist,Competitive,Split,Platinum 2,1.08,"['16.9', '15.6', '4.7']",49.1,3.0,238,0.1,5247
10,Viper,controller,Competitive,Split,Platinum 2,1.0,"['14.6', '14.7', '5.5']",48.8,2.3,206,0.2,4121
11,Sova,initiator,Competitive,Split,Platinum 2,0.98,"['14.6', '14.9', '5.4']",48.6,2.7,207,0.1,4725
12,Astra,controller,Competitive,Split,Platinum 2,1.04,"['15.3', '14.7', '6.5']",48.5,2.5,210,0.1,4424
13,Jett,duelist,Competitive,Split,Platinum 2,1.07,"['17.3', '16.1', '3.9']",48.5,9.0,240,0.1,15815
14,Omen,controller,Competitive,Split,Platinum 2,0.99,"['15', '15.2', '7']",48.0,8.5,208,0.1,14983
15,Cypher,sentinel,Competitive,Split,Platinum 2,1.0,"['14.7', '14.7', '4.9']",47.9,5.5,202,0.1,9565
16,Neon,duelist,Competitive,Split,Platinum 2,0.99,"['16.1', '16.3', '4.2']",47.0,1.2,226,0.1,2091
17,Chamber,sentinel,Competitive,Split,Platinum 2,1.07,"['16.2', '15.1', '3.1']",46.4,2.2,220,0.1,3935
18,KAY/O,initiator,Competitive,Split,Platinum 2,0.91,"['14.1', '15.6', '8.7']",46.3,3.5,202,0.1,6108
19,Harbor,controller,Competitive,Split,Platinum 2,0.9,"['13.7', '15.3', '5.9']",46.1,0.5,191,0.1,815
20,Yoru,duelist,Competitive,Split,Platinum 2,1.01,"['15.7', '15.5', '4.2']",44.9,1.1,219,0.1,1863
1,Phoenix,duelist,Competitive,Ascent,Platinum 2,1.12,"['17.4', '15.5', '4.8']",51.9,3.8,244,0.1,6640
2,Brimstone,controller,Competitive,Ascent,Platinum 2,0.96,"['14.4', '15', '9.2']",50.9,6.1,205,0.1,10668
3,Sage,sentinel,Competitive,Ascent,Platinum 2,0.93,"['13.8', '14.8', '7.2']",50.8,7.9,192,0.1,13787
4,Sova,initiator,Competitive,Ascent,Platinum 2,1.02,"['14.9', '14.6', '6']",49.9,8.8,209,0.1,15365
5,Reyna,duelist,Competitive,Ascent,Platinum 2,1.12,"['17.7', '15.8', '4.6']",49.8,12.0,244,0.1,20910
6,Harbor,controller,Competitive,Ascent,Platinum 2,0.91,"['14', '15.5', '6.4']",49.7,0.4,193,0.1,682
7,Killjoy,sentinel,Competitive,Ascent,Platinum 2,1.0,"['14.4', '14.3', '4']",49.7,9.8,200,0.2,17160
8,Jett,duelist,Competitive,Ascent,Platinum 2,1.09,"['17.5', '16', '3.8']",49.0,11.9,242,0.1,20761
9,Raze,duelist,Competitive,Ascent,Platinum 2,1.03,"['16.6', '16.1', '5.1']",48.9,6.4,240,0.1,11219
10,Skye,initiator,Competitive,Ascent,Platinum 2,0.93,"['14.2', '15.2', '7.6']",48.6,2.7,199,0.1,4619
11,Omen,controller,Competitive,Ascent,Platinum 2,0.99,"['15', '15.2', '8']",48.5,9.2,207,0.1,15995
12,Astra,controller,Competitive,Ascent,Platinum 2,1.04,"['15.3', '14.8', '7.3']",48.5,2.2,209,0.1,3913
13,Fade,initiator,Competitive,Ascent,Platinum 2,0.95,"['14.4', '15.1', '6.5']",48.0,3.7,199,0.1,6467
14,Chamber,sentinel,Competitive,Ascent,Platinum 2,1.08,"['16.3', '15.1', '3']",47.8,2.5,220,0.1,4432
15,Cypher,sentinel,Competitive,Ascent,Platinum 2,0.99,"['14.6', '14.8', '5.1']",47.3,3.4,198,0.1,5927
16,Viper,controller,Competitive,Ascent,Platinum 2,0.98,"['14.6', '14.9', '5.8']",46.9,1.2,203,0.1,2112
17,Breach,initiator,Competitive,Ascent,Platinum 2,0.93,"['14.6', '15.7', '6.7']",46.2,1.6,203,0.1,2746
18,KAY/O,initiator,Competitive,Ascent,Platinum 2,0.92,"['14.3', '15.6', '8.6']",45.9,4.1,202,0.1,7108
19,Neon,duelist,Competitive,Ascent,Platinum 2,0.95,"['15.7', '16.6', '4.2']",45.0,1.1,221,0.1,1959
20,Yoru,duelist,Competitive,Ascent,Platinum 2,1.0,"['15.6', '15.6', '4.2']",44.9,1.0,217,0.1,1757
1,Phoenix,duelist,Competitive,Haven,Platinum 2,1.13,"['17.6', '15.6', '4.6']",51.3,4.4,246,0.1,7677
2,Killjoy,sentinel,Competitive,Haven,Platinum 2,1.01,"['14.5', '14.3', '3.7']",50.9,5.7,202,0.2,9997
3,Brimstone,controller,Competitive,Haven,Platinum 2,0.96,"['14.3', '15', '8.7']",50.4,6.0,204,0.1,10543
4,Sage,sentinel,Competitive,Haven,Platinum 2,0.93,"['13.8', '14.9', '7.2']",50.4,9.6,193,0.1,16816
5,Jett,duelist,Competitive,Haven,Platinum 2,1.09,"['17.3', '16', '3.8']",50.1,11.5,240,0.1,20205
6,Astra,controller,Competitive,Haven,Platinum 2,1.02,"['15', '14.7', '6.6']",49.8,1.9,205,0.1,3357
7,Raze,duelist,Competitive,Haven,Platinum 2,1.06,"['16.7', '15.8', '4.8']",49.8,6.2,241,0.1,10881
8,Viper,controller,Competitive,Haven,Platinum 2,0.98,"['14.6', '14.9', '5.8']",49.3,1.0,203,0.2,1779
9,Neon,duelist,Competitive,Haven,Platinum 2,0.96,"['15.9', '16.6', '4.2']",49.3,1.5,222,0.1,2565
10,Reyna,duelist,Competitive,Haven,Platinum 2,1.13,"['17.8', '15.7', '4.5']",49.2,12.1,248,0.1,21247
11,Sova,initiator,Competitive,Haven,Platinum 2,1.0,"['14.8', '14.7', '5.6']",49.1,6.9,207,0.1,12112
12,Fade,initiator,Competitive,Haven,Platinum 2,0.96,"['14.6', '15.1', '6.6']",48.9,4.2,202,0.1,7409
13,Omen,controller,Competitive,Haven,Platinum 2,0.98,"['14.9', '15.2', '7.3']",48.5,10.4,206,0.1,18201
14,Cypher,sentinel,Competitive,Haven,Platinum 2,1.0,"['14.6', '14.7', '4.9']",48.4,4.4,201,0.1,7769
15,Chamber,sentinel,Competitive,Haven,Platinum 2,1.07,"['16.2', '15.1', '3']",47.7,3.1,217,0.1,5481
16,Breach,initiator,Competitive,Haven,Platinum 2,0.93,"['14.4', '15.5', '6.7']",47.3,2.8,201,0.1,4984
17,Skye,initiator,Competitive,Haven,Platinum 2,0.94,"['14.4', '15.4', '7.4']",47.1,3.8,201,0.1,6756
18,Yoru,duelist,Competitive,Haven,Platinum 2,1.01,"['16', '15.8', '4.5']",46.6,1.2,221,0.1,2135
19,KAY/O,initiator,Competitive,Haven,Platinum 2,0.93,"['14.6', '15.8', '9.1']",44.4,2.8,208,0.1,4984
20,Harbor,controller,Competitive,Haven,Platinum 2,0.87,"['13.5', '15.4', '5.8']",41.8,0.4,190,0.1,667
1,Jett,duelist,Competitive,Icebox,Platinum 2,1.1,"['17.8', '16.2', '3.9']",50.3,12.4,247,0.1,21639
2,Viper,controller,Competitive,Icebox,Platinum 2,1.01,"['15', '14.8', '5.7']",50.2,11.7,207,0.2,20435
3,Killjoy,sentinel,Competitive,Icebox,Platinum 2,1.0,"['14.5', '14.4', '3.7']",50.0,5.6,201,0.2,9752
4,Sage,sentinel,Competitive,Icebox,Platinum 2,0.92,"['13.7', '14.9', '7.1']",49.9,12.5,190,0.1,21748
5,Phoenix,duelist,Competitive,Icebox,Platinum 2,1.1,"['17', '15.6', '4.3']",49.8,2.4,236,0.1,4197
6,Sova,initiator,Competitive,Icebox,Platinum 2,0.99,"['14.7', '14.8', '5.4']",49.5,9.6,204,0.1,16749
7,Reyna,duelist,Competitive,Icebox,Platinum 2,1.14,"['18.1', '15.9', '4.2']",49.5,12.6,250,0.1,21980
8,Brimstone,controller,Competitive,Icebox,Platinum 2,0.95,"['14.1', '15', '7']",49.5,2.3,202,0.1,4040
9,Fade,initiator,Competitive,Icebox,Platinum 2,0.96,"['14.6', '15.2', '6.3']",49.4,3.2,203,0.1,5593
10,Neon,duelist,Competitive,Icebox,Platinum 2,1.0,"['16.6', '16.7', '4']",49.1,1.5,232,0.1,2567
11,Skye,initiator,Competitive,Icebox,Platinum 2,0.94,"['14.5', '15.4', '7.3']",49.0,2.3,201,0.1,4103
12,Chamber,sentinel,Competitive,Icebox,Platinum 2,1.09,"['16.3', '15', '3']",48.4,3.4,221,0.1,5927
13,Raze,duelist,Competitive,Icebox,Platinum 2,1.03,"['16.6', '16.1', '4.6']",48.1,7.0,239,0.1,12142
14,Harbor,controller,Competitive,Icebox,Platinum 2,0.92,"['14.4', '15.6', '5.8']",47.2,0.6,196,0.1,1055
15,KAY/O,initiator,Competitive,Icebox,Platinum 2,0.92,"['14.4', '15.6', '9']",46.6,3.9,206,0.1,6731
16,Breach,initiator,Competitive,Icebox,Platinum 2,0.92,"['14.4', '15.7', '6.3']",46.6,1.1,201,0.1,1946
17,Cypher,sentinel,Competitive,Icebox,Platinum 2,0.98,"['14.5', '14.8', '4.4']",46.5,1.7,198,0.1,2999
18,Omen,controller,Competitive,Icebox,Platinum 2,0.97,"['15.1', '15.6', '5.8']",45.5,4.6,210,0.1,8094
19,Yoru,duelist,Competitive,Icebox,Platinum 2,0.98,"['15.6', '15.9', '4.1']",44.6,1.2,216,0.1,2083
20,Astra,controller,Competitive,Icebox,Platinum 2,1.04,"['15.6', '15.1', '5.3']",44.1,0.5,211,0.1,876
1,Phoenix,duelist,Competitive,Fracture,Platinum 2,1.14,"['17.3', '15.1', '4.5']",52.4,2.8,243,0.1,4889
2,Brimstone,controller,Competitive,Fracture,Platinum 2,0.99,"['14.6', '14.7', '8.4']",50.8,9.6,207,0.2,16508
3,Killjoy,sentinel,Competitive,Fracture,Platinum 2,1.0,"['14.3', '14.3', '4.1']",50.6,6.9,201,0.2,11919
4,Reyna,duelist,Competitive,Fracture,Platinum 2,1.17,"['18', '15.4', '4.5']",50.5,11.7,250,0.1,20177
5,Breach,initiator,Competitive,Fracture,Platinum 2,0.94,"['14.4', '15.3', '6.8']",49.9,9.1,201,0.1,15717
6,Fade,initiator,Competitive,Fracture,Platinum 2,0.96,"['14.4', '15', '6.2']",49.8,4.5,200,0.1,7817
7,Skye,initiator,Competitive,Fracture,Platinum 2,0.95,"['14.2', '15', '7.2']",49.7,2.9,198,0.1,4976
8,Sage,sentinel,Competitive,Fracture,Platinum 2,0.91,"['13.5', '14.8', '6.9']",49.7,8.0,188,0.1,13717
9,Jett,duelist,Competitive,Fracture,Platinum 2,1.1,"['17.3', '15.8', '3.8']",49.0,10.0,241,0.1,17274
10,Neon,duelist,Competitive,Fracture,Platinum 2,1.02,"['16.5', '16.2', '4.3']",48.8,3.3,234,0.1,5683
11,Raze,duelist,Competitive,Fracture,Platinum 2,1.05,"['16.5', '15.7', '4.8']",48.7,7.2,238,0.1,12410
12,Sova,initiator,Competitive,Fracture,Platinum 2,0.97,"['14.5', '14.9', '5.4']",48.7,1.8,204,0.1,3074
13,Astra,controller,Competitive,Fracture,Platinum 2,1.03,"['15.1', '14.7', '6.2']",48.0,1.3,207,0.1,2197
14,Cypher,sentinel,Competitive,Fracture,Platinum 2,1.0,"['14.6', '14.6', '4.8']",48.0,4.6,201,0.1,7954
15,Viper,controller,Competitive,Fracture,Platinum 2,0.96,"['14.2', '14.8', '5.6']",47.4,4.5,199,0.2,7715
16,Chamber,sentinel,Competitive,Fracture,Platinum 2,1.09,"['16.2', '14.9', '3']",47.3,3.2,221,0.1,5496
17,Omen,controller,Competitive,Fracture,Platinum 2,0.96,"['14.7', '15.3', '6.8']",46.6,3.4,204,0.1,5779
18,Yoru,duelist,Competitive,Fracture,Platinum 2,1.0,"['15.6', '15.6', '4.4']",44.8,1.1,218,0.1,1958
19,Harbor,controller,Competitive,Fracture,Platinum 2,0.89,"['13.7', '15.4', '5.8']",44.1,0.7,190,0.1,1254
20,KAY/O,initiator,Competitive,Fracture,Platinum 2,0.91,"['14', '15.5', '8.9']",43.7,3.4,202,0.1,5893
1,Brimstone,controller,Competitive,Pearl,Platinum 2,0.96,"['14.4', '14.9', '8.2']",51.3,4.3,205,0.1,7494
2,Phoenix,duelist,Competitive,Pearl,Platinum 2,1.12,"['17.5', '15.6', '4.9']",50.9,4.7,246,0.1,8207
3,Fade,initiator,Competitive,Pearl,Platinum 2,0.96,"['14.4', '15', '6.5']",50.5,8.4,201,0.1,14500
4,Skye,initiator,Competitive,Pearl,Platinum 2,0.95,"['14.5', '15.3', '7.7']",50.3,3.4,201,0.1,5849
5,Raze,duelist,Competitive,Pearl,Platinum 2,1.05,"['16.6', '15.8', '5']",50.1,5.7,241,0.1,9884
6,Astra,controller,Competitive,Pearl,Platinum 2,1.05,"['15.2', '14.5', '6.4']",50.1,3.6,207,0.2,6295
7,Reyna,duelist,Competitive,Pearl,Platinum 2,1.15,"['18', '15.7', '4.6']",49.7,12.4,251,0.1,21390
8,Sova,initiator,Competitive,Pearl,Platinum 2,0.98,"['14.6', '14.9', '5.7']",49.6,2.9,206,0.1,5072
9,Sage,sentinel,Competitive,Pearl,Platinum 2,0.91,"['13.6', '14.9', '7.2']",49.5,9.4,189,0.1,16338
10,Killjoy,sentinel,Competitive,Pearl,Platinum 2,0.98,"['14.1', '14.3', '4']",49.4,4.6,199,0.2,8035
11,Viper,controller,Competitive,Pearl,Platinum 2,0.99,"['14.6', '14.8', '6']",49.2,6.8,204,0.2,11705
12,Omen,controller,Competitive,Pearl,Platinum 2,0.97,"['14.8', '15.3', '6.4']",48.9,3.6,204,0.1,6170
13,Jett,duelist,Competitive,Pearl,Platinum 2,1.09,"['17.3', '15.9', '3.9']",48.6,10.4,240,0.1,18065
14,Chamber,sentinel,Competitive,Pearl,Platinum 2,1.08,"['16.1', '14.9', '3.1']",48.5,3.8,218,0.1,6524
15,Cypher,sentinel,Competitive,Pearl,Platinum 2,1.0,"['14.5', '14.5', '4.8']",48.4,5.3,199,0.2,9199
16,Neon,duelist,Competitive,Pearl,Platinum 2,0.99,"['16.4', '16.5', '4.4']",48.3,2.0,229,0.1,3420
17,Breach,initiator,Competitive,Pearl,Platinum 2,0.94,"['14.6', '15.5', '6.7']",46.8,1.9,204,0.1,3214
18,KAY/O,initiator,Competitive,Pearl,Platinum 2,0.91,"['14.2', '15.6', '8.5']",45.5,3.8,203,0.1,6627
19,Harbor,controller,Competitive,Pearl,Platinum 2,0.89,"['13.6', '15.2', '6']",44.8,1.4,191,0.1,2429
20,Yoru,duelist,Competitive,Pearl,Platinum 2,1.0,"['15.9', '15.8', '4.4']",43.4,1.4,219,0.1,2500
1,Brimstone,controller,Competitive,Lotus,Platinum 2,0.98,"['14.6', '14.8', '7.9']",51.7,4.9,207,0.1,8434
2,Sage,sentinel,Competitive,Lotus,Platinum 2,0.93,"['13.8', '14.8', '6.9']",51.7,7.9,193,0.1,13604
3,Astra,controller,Competitive,Lotus,Platinum 2,1.05,"['15.4', '14.8', '5.9']",51.1,2.4,209,0.2,4195
4,Fade,initiator,Competitive,Lotus,Platinum 2,0.95,"['14.4', '15.1', '6.2']",50.6,4.6,201,0.1,7858
5,Killjoy,sentinel,Competitive,Lotus,Platinum 2,1.01,"['14.4', '14.3', '3.8']",50.5,6.5,201,0.2,11055
6,Chamber,sentinel,Competitive,Lotus,Platinum 2,1.09,"['16.3', '15', '2.9']",50.1,3.7,220,0.1,6367
7,Raze,duelist,Competitive,Lotus,Platinum 2,1.06,"['16.8', '15.8', '5']",50.1,7.9,244,0.1,13502
8,Breach,initiator,Competitive,Lotus,Platinum 2,0.94,"['14.4', '15.3', '6.8']",50.1,5.7,201,0.1,9839
9,Skye,initiator,Competitive,Lotus,Platinum 2,0.95,"['14.3', '15.2', '7.6']",49.6,4.4,200,0.1,7505
10,Omen,controller,Competitive,Lotus,Platinum 2,0.98,"['14.9', '15.3', '6.6']",49.5,7.5,204,0.1,12841
11,Harbor,controller,Competitive,Lotus,Platinum 2,0.94,"['14.4', '15.3', '5.8']",49.4,2.0,197,0.1,3480
12,Reyna,duelist,Competitive,Lotus,Platinum 2,1.15,"['17.9', '15.6', '4.4']",49.3,12.6,248,0.1,21617
13,Phoenix,duelist,Competitive,Lotus,Platinum 2,1.13,"['17.4', '15.5', '4.7']",49.3,3.8,242,0.1,6445
14,Sova,initiator,Competitive,Lotus,Platinum 2,0.98,"['14.7', '15', '5.3']",48.8,2.8,206,0.1,4821
15,Viper,controller,Competitive,Lotus,Platinum 2,0.99,"['14.6', '14.9', '5.4']",48.5,1.9,204,0.2,3275
16,Jett,duelist,Competitive,Lotus,Platinum 2,1.08,"['17.4', '16', '3.8']",47.6,9.8,241,0.1,16794
17,Cypher,sentinel,Competitive,Lotus,Platinum 2,0.99,"['14.5', '14.7', '4.6']",47.3,4.1,198,0.2,7074
18,Neon,duelist,Competitive,Lotus,Platinum 2,0.99,"['16.2', '16.4', '4.3']",46.7,2.2,229,0.1,3714
19,Yoru,duelist,Competitive,Lotus,Platinum 2,1.0,"['15.7', '15.7', '4.3']",46.2,1.5,217,0.1,2542
20,KAY/O,initiator,Competitive,Lotus,Platinum 2,0.92,"['14.3', '15.5', '9']",46.1,3.7,205,0.1,6318
1,Brimstone,controller,Competitive,All,Platinum 3,0.97,"['14.5', '14.9', '8.7']",51.1,5.5,206,0.1,60195
2,Phoenix,duelist,Competitive,All,Platinum 3,1.11,"['17.3', '15.6', '4.7']",50.5,3.5,242,0.1,38184
3,Sage,sentinel,Competitive,All,Platinum 3,0.93,"['13.9', '14.9', '7.2']",50.5,9.5,193,0.1,104618
4,Killjoy,sentinel,Competitive,All,Platinum 3,1.01,"['14.5', '14.3', '3.9']",50.4,6.5,202,0.2,71618
5,Reyna,duelist,Competitive,All,Platinum 3,1.15,"['18', '15.7', '4.5']",50.2,12.1,250,0.1,133612
6,Sova,initiator,Competitive,All,Platinum 3,1.01,"['14.8', '14.7', '5.6']",50.0,5.1,207,0.2,55922
7,Viper,controller,Competitive,All,Platinum 3,1.0,"['14.8', '14.8', '5.7']",49.8,4.2,205,0.2,46383
8,Raze,duelist,Competitive,All,Platinum 3,1.06,"['16.8', '15.9', '4.9']",49.7,7.3,243,0.1,80223
9,Astra,controller,Competitive,All,Platinum 3,1.04,"['15.3', '14.6', '6.5']",49.6,2.2,208,0.2,23966
